target_name,provider_name,device,model,quantum,hybrid,max_size
braket_rigetti_aspen_m1,Braket,Rigetti,Aspen-M-1,True,True,80
braket_oqc_lucy,Braket,Oxford,Lucy,True,True,8
braket_ionq_s11,Braket,IonQ,IonQ Device,True,True,11
braket_dwave_2000Q,Braket,D-Wave Systems,DW_2000Q_6,True,False,2048
braket_dwave_advantage4_1,Braket,D-Wave Systems,Advantage_system4.1,True,False,5760
braket_simulator_sv1,Braket,Amazon Braket,SV1,False,True,34
braket_simulator_tn1,Braket,Amazon Braket,TN1,False,True,50
braket_simulator_dm1,Braket,Amazon Braket,dm1,False,True,17
qonductor,QCI,qonductor,96_core,False,False,50000
csample,QCI,csample,96_core,False,False,50000
csample_basic,QCI,csample_basic,96_core,False,False,50000
ionq_simulator,IonQ,IonQ,simulator,True,True,19
ionq_s11,IonQ,IonQ,s11,True,True,11
ionq_s21,IonQ,IonQ,s21,True,True,21
